wave	flux	snr	noise	thru
0.6024954888205943	250.28147978277397	14.690238311112367	21.04926090041827	0.0015630395960536758
0.6069110001174575	291.7769080578435	14.81829013449605	20.10336799951733	0.0016555647904790876
0.6114138195510883	308.33192163413526	14.563055603879311	19.428368638347575	0.0017160396109414868
0.6160082542888619	263.45367205073075	14.479565508176941	18.942831341023187	0.001767998199305795
0.6207060229416635	318.7841004530306	15.204054701718597	18.78900049318899	0.0018243690539076793
0.6255136961328447	323.9852451330808	15.935213846194076	18.599420793043695	0.0018866321527128056
0.6304230619844057	290.89275651181623	16.367975138159515	18.29647166738152	0.001949740477419658
0.635438327589194	288.3651961694165	16.614357004307326	17.89843790487788	0.002019076733165686
0.6405637793507409	273.6402230680383	16.68668641345339	17.45924943259907	0.0020888765773016574
0.6458036706502773	270.3191386278388	16.592559490845655	16.934143139586094	0.0021679024358675844
0.6511621496987382	252.9693429125957	16.595589857848406	16.4661413684669	0.0022488795364865805
0.6566433617365964	284.17111035051437	17.134921576549722	16.179425767995582	0.002334291358645471
0.6622514729790379	259.76742278277356	17.783004333977264	15.91033830787039	0.002426533143890543
0.6679905160063571	292.832820772199	18.18899026062375	15.5822451306719	0.0025195881040487437
0.6738645135535137	291.1414423545007	18.50527993756164	15.216431569422099	0.0026202933953187253
0.6798774834927327	258.6651230261494	19.03136588052219	14.8913482118975	0.002731022751637218
0.6860332854009485	320.53162191421785	20.170769307586706	14.757041714735212	0.0028389073418124354
0.6923358270925476	357.2599238963631	23.188874628917127	15.072678671651037	0.0029554552734129577
0.6988053151311685	512.1559786189915	30.447942372323485	16.416497278470246	0.003083721103601237
0.7054351170328494	828.3260613937483	43.568830478818725	19.34881717995683	0.0032045623977522155
0.7122254455746909	1439.774502742865	60.83128477543615	23.4286194103646	0.0033363593423674665
0.7191798349391124	2143.3510261276874	77.35866469426217	27.3090327867964	0.0034650400653610694
0.7263172675803488	2568.0053644160143	87.72896576257531	29.30497423126538	0.003594063936258242
0.7336442399236287	2561.129099108049	88.26283240580372	28.373523009473598	0.0037288349948687684
0.7411476866192758	1956.5580415564493	78.77974969288978	24.82191528336548	0.003868485268974371
0.74885536987851	1262.4512527043576	62.180579007109	19.93720850049655	0.004010030141250638
0.7567638769608438	701.4703941189525	44.734373908245445	15.578751235687925	0.004145736458732954
0.7648753543529766	431.25623886371187	32.83186300327378	12.905146373661903	0.0042854856254724285
0.7732105969224792	307.2663618612201	27.823759769457297	11.749057017357458	0.004416166258647963
0.7817620224044457	309.4118378181045	26.903597931808633	11.344300252170086	0.004541459955578884
0.7905437278998475	295.31375356330346	27.169748925046928	11.171412153242612	0.004648656544326284
0.7995682990835928	295.6091417429513	27.6416699209129	11.032138281292045	0.0047569316675587425
0.8088270674333922	325.0310106271247	28.067718065714494	10.902755920192467	0.004851745330842319
0.8183418088138193	304.175797530121	28.441139435340546	10.775917355670897	0.004941039304930464
0.8281213710495698	295.9628002376063	28.780003573118947	10.655073557151846	0.005025175112214543
